id,iteracion,optimizador,clasificador,accuracy,precision,recall,best_epoch,best_fitness,total_time,features
,18,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,26,0.8733095457,1135.023716,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,19,OriginalABC,knn,0.9532054282,0.8729295918,0.860901909,19,0.872452635,434.7739215,"Index(['minX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,19,OriginalABC,svm,0.9321478708,0.7867540982,0.7620376624,20,0.8719627043,1193.937565,"Index(['sdX2', 'maxY2', 'maxZ2', 'corXZ2'], dtype='object')"
,20,OriginalABC,knn,0.9480580253,0.8546768864,0.8295121084,18,0.8729873018,424.1100426,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,20,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,33,0.8733095457,1122.999133,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,21,OriginalABC,knn,0.9532054282,0.8729295918,0.860901909,13,0.872452635,433.5218492,"Index(['minX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,21,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,22,0.8733095457,1167.580605,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,22,OriginalABC,knn,0.9480580253,0.8546768864,0.8295121084,14,0.8729873018,430.7110789,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,22,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,27,0.8733095457,1162.467009,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,23,OriginalABC,knn,0.939167057,0.8318336451,0.7970464764,36,0.8712191618,435.4092064,"Index(['meanMagnitude', 'meanX2', 'maxX2'], dtype='object')"
,23,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,35,0.8733095457,1112.000505,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
