combination,meanY,corXY,corXY2,meanMagnitude2,maxY2,corXZ2,maxZ2,sdZ,meanY2,meanMagnitude,meanZ,corYZ2,maxZ,minX2,minZ,meanX,corXZ,sdZ2,auc2,sdX,maxY,maxX2,meanX2,sdMagnitude2,minY2,minZ2,sdY2,meanDif,meanZ2,sdX2,sdMagnitude,corYZ,maxX,auc,sdY,minY,minX,meanDif2,user
PPSO_svm,0,0,0,2,0,2,1,1,1,1,3,0,3,3,0,3,1,6,1,1,4,4,1,3,1,7,1,0,1,2,1,0,4,6,0,1,5,0,505.0
BaseDE_knn,1,4,0,1,10,1,10,0,8,10,4,1,6,6,6,8,7,10,12,0,16,16,9,16,0,8,0,7,8,10,7,7,5,7,3,6,9,8,507.0
BaseDE_svm,9,4,2,5,2,1,6,1,3,3,5,1,6,3,3,4,9,8,6,3,6,9,3,7,0,5,1,2,8,14,7,5,2,2,0,3,6,2,507.0
BaseGA_knn,0,5,0,0,0,0,0,0,0,0,1,0,10,0,0,3,0,0,2,0,6,27,2,0,0,0,0,0,22,3,1,0,0,1,0,1,11,0,507.0
BaseGA_svm,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,1,6,0,507.0
OriginalArchOA_knn,0,3,0,3,0,1,2,0,2,6,3,0,13,0,1,4,1,4,6,0,5,11,10,8,0,1,2,2,7,9,9,0,0,1,1,5,1,0,507.0
OriginalArchOA_svm,0,0,0,3,3,0,0,1,2,0,2,0,17,0,0,2,0,1,0,0,4,6,0,3,0,1,0,0,2,4,1,1,0,0,0,1,1,0,507.0
OriginalDO_knn,0,0,1,2,4,0,2,0,4,10,3,0,9,0,0,3,4,4,3,0,4,13,6,5,0,7,0,1,11,11,5,4,0,4,0,6,3,0,507.0
OriginalDO_svm,1,0,0,1,1,0,2,0,0,0,4,0,11,0,5,1,1,4,1,0,3,4,2,4,0,4,0,0,6,5,1,2,0,0,1,1,4,0,507.0
OriginalGBO_knn,1,2,0,3,2,0,7,0,2,3,4,0,7,3,1,2,3,6,0,0,11,17,1,8,0,3,3,2,9,6,6,1,0,7,0,6,5,0,507.0
