filter_method,classifier,accuracy,precision,recall,F1,MCC,Balanced_accuracy,total_time,features
ANOVA,knn,0.9513336452971455,0.8839039323135142,0.8439865484184533,0.8582328732378643,0.9095785565638915,0.8439865484184533,0.13141322135925293,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,svm,0.9480580252690688,0.7681824520946577,0.786642814,0.7771336053868743,0.9040074792115378,0.786642814,0.4928853511810303,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,knn,0.9513336452971455,0.8839039323135142,0.8439865484184533,0.8582328732378643,0.9095785565638915,0.8439865484184533,0.14398431777954102,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,svm,0.9480580252690688,0.7681824520946577,0.786642814,0.7771336053868743,0.9040074792115378,0.786642814,0.46333980560302734,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,knn,0.9513336452971455,0.8839039323135142,0.8439865484184533,0.8582328732378643,0.9095785565638915,0.8439865484184533,0.14107823371887207,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,svm,0.9480580252690688,0.7681824520946577,0.786642814,0.7771336053868743,0.9040074792115378,0.786642814,0.46678590774536133,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,knn,0.9513336452971455,0.8839039323135142,0.8439865484184533,0.8582328732378643,0.9095785565638915,0.8439865484184533,0.12984371185302734,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,svm,0.9480580252690688,0.7681824520946577,0.786642814,0.7771336053868743,0.9040074792115378,0.786642814,0.4729938507080078,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,knn,0.9513336452971455,0.8839039323135142,0.8439865484184533,0.8582328732378643,0.9095785565638915,0.8439865484184533,0.12635087966918945,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,svm,0.9480580252690688,0.7681824520946577,0.786642814,0.7771336053868743,0.9040074792115378,0.786642814,0.4579770565032959,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,knn,0.9513336452971455,0.8839039323135142,0.8439865484184533,0.8582328732378643,0.9095785565638915,0.8439865484184533,0.1281447410583496,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,svm,0.9480580252690688,0.7681824520946577,0.786642814,0.7771336053868743,0.9040074792115378,0.786642814,0.4994814395904541,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,knn,0.9513336452971455,0.8839039323135142,0.8439865484184533,0.8582328732378643,0.9095785565638915,0.8439865484184533,0.13906383514404297,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,svm,0.9480580252690688,0.7681824520946577,0.786642814,0.7771336053868743,0.9040074792115378,0.786642814,0.4914090633392334,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,knn,0.9513336452971455,0.8839039323135142,0.8439865484184533,0.8582328732378643,0.9095785565638915,0.8439865484184533,0.1308290958404541,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,svm,0.9480580252690688,0.7681824520946577,0.786642814,0.7771336053868743,0.9040074792115378,0.786642814,0.45806407928466797,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,knn,0.9513336452971455,0.8839039323135142,0.8439865484184533,0.8582328732378643,0.9095785565638915,0.8439865484184533,0.16473865509033203,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,svm,0.9480580252690688,0.7681824520946577,0.786642814,0.7771336053868743,0.9040074792115378,0.786642814,0.8559327125549316,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,knn,0.9513336452971455,0.8839039323135142,0.8439865484184533,0.8582328732378643,0.9095785565638915,0.8439865484184533,0.1845107078552246,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
ANOVA,svm,0.9480580252690688,0.7681824520946577,0.786642814,0.7771336053868743,0.9040074792115378,0.786642814,0.8256351947784424,"['meanX', 'meanX2', 'meanZ2', 'maxX2', 'maxZ2', 'minX2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.12175846099853516,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.43834543228149414,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.1195826530456543,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.4331848621368408,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.1884932518005371,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.41226863861083984,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.12830615043640137,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.412639856,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.17604327201843262,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.7980492115020752,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.11857962608337402,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.4202148914337158,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.16123557090759277,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.43054986000061035,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.11534309387207031,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.4256892204284668,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.15117168426513672,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.40976738929748535,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.18394231796264648,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.810067892,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.12248539924621582,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.42014384269714355,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.11876296997070312,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.4274277687072754,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,knn,0.9606925596630791,0.9070608397654795,0.8911244071972574,0.8986324540560237,0.9273631747339117,0.8911244071972574,0.16568899154663086,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
MI,svm,0.9522695367337389,0.8961873318992055,0.8120512048391955,0.8234453776261145,0.9115895279249964,0.8120512048391955,0.42934393882751465,"['minX', 'sdMagnitude', 'sdZ2', 'maxX2', 'minX2', 'minZ2']"
