filter_method,classifier,accuracy,precision,recall,F1,MCC,Balanced_accuracy,total_time,features
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.27152347564697266,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,0.9432756900787354,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.27613019943237305,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,0.8778753280639648,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.21848249435424805,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,0.7804722785949707,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.2110447883605957,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,0.7752270698547363,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.21654748916625977,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,0.7980444431304932,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.1995222568511963,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,0.7488205432891846,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.1736278533935547,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,1.3605046272277832,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.20644450187683105,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,0.7182643413543701,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.1708238124847412,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
