user,combination,accuracy,precision,recall,F1,MCC,Balanced_accuracy,sensitivity,specificity,number_features
505,PPSO_svm,0.9650980392156863,0.7769203498818162,0.7926848192065583,0.7843211458575553,0.9520229984353583,0.7926848192065583,0.7926848192065583,0.9897847285708068,2.3333333333333335
507,BaseDE_knn,0.9654040404040404,0.8156996717015604,0.7970328534514581,0.8025633602176706,0.9309498934805287,0.7970328534514581,0.7970328534514581,0.984846298979496,8.233333333333333
507,BaseDE_svm,0.9621212121212122,0.779323825252244,0.7888017718715392,0.7829784192323498,0.9251677760342295,0.7888017718715392,0.7888017718715392,0.9858386698123807,5.533333333333333
507,BaseGA_knn,0.9689393939393939,0.8527296133023762,0.8185500184569953,0.8250697946599982,0.9381669460241808,0.8185500184569953,0.8185500184569953,0.9876873790388431,3.1666666666666665
507,BaseGA_svm,0.9444444444444445,0.7678015875653215,0.7847264673311185,0.7757646172600828,0.8901487819931739,0.7847264673311185,0.7847264673311185,0.9803839832660989,1.2666666666666666
507,OriginalArchOA_knn,0.9661616161616161,0.8671294177881218,0.8189383536360281,0.8327679127519312,0.9326203348516758,0.8189383536360281,0.8189383536360281,0.9863729199892981,4.033333333333333
507,OriginalArchOA_svm,0.9505050505050505,0.7729906545461736,0.7877165005537099,0.7799438376955198,0.902032726947127,0.7877165005537099,0.7877165005537099,0.9816274205261311,1.8333333333333333
507,OriginalDO_knn,0.9593434343434344,0.8384635064109858,0.7864806201550387,0.8027313579982189,0.9187070936208445,0.7864806201550387,0.7864806201550387,0.9836630541917566,4.3
507,OriginalDO_svm,0.954040404040404,0.7738138969577762,0.7902702104097453,0.7815537579642509,0.9093481535400793,0.7902702104097453,0.7902702104097453,0.9834528611982668,2.3
507,OriginalGBO_knn,0.9648989898989898,0.8501733155510686,0.8096330749354005,0.8220655952234801,0.9299601514649394,0.8096330749354005,0.8096330749354005,0.9848271420910658,4.366666666666666
507,OriginalGBO_svm,0.9560606060606062,0.7756863788867182,0.7912292358803987,0.783016298771916,0.9132356804888612,0.7912292358803987,0.7912292358803987,0.9838843892207176,2.7666666666666666
507,OriginalJA_knn,0.9631313131313132,0.8341067576386523,0.8032211148025101,0.8113642821077734,0.9268208228586797,0.8032211148025101,0.8032211148025101,0.9853719984234768,5.7
507,OriginalJA_svm,0.9613636363636363,0.7769013985113015,0.7918420081210779,0.7840122007546227,0.923527937144821,0.7918420081210779,0.7918420081210779,0.9851582412262262,3.4
507,OriginalRUN_knn,0.9664141414141414,0.8617415267512154,0.8189029162052417,0.8301057199217662,0.933201985307761,0.8189029162052417,0.8189029162052417,0.9863726389167841,3.6
